148,4
31,5
137,5
85,5
65,4
53,2
133,5
78,4
108,5
155,5
34,4
193,5
115,5
101,5
126,5
81,3
183,5
28,3
76,5
26,5
27,5
44,4
192,3
159,4
103,5
12,3
91,4
22,2
128,5
122,5
190,5
157,5
93,5
111,4
47,5
140,4
177,4
152,2
132,5
185,5
146,4
1,3
52,4
182,5
13,4
6,5
16,5
86,1
168,5
178,5
3,5
142,5
164,5
40,5
20,5
169,5
139,4
94,5
57,5
120,5
54,5
96,5
48,4
191,4
163,5
5,4
19,5
92,5
64,5
117,1
154,4
41,5
15,2
43,5
112,5
165,5
189,2
179,5
37,5
61,5
127,5
88,4
197,5
107,3
17,4
9,5
72,4
175,4
35,5
196,5
114,5
173,5
55,5
4,5
59,5
8,5
100,5
161,5
39,3
23,5
176,5
49,5
162,5
7,5
130,4
84,5
136,5
87,5
171,5
194,5
51,5
129,4
69,5
166,2
97,5
63,5
77,5
102,5
10,5
50,5
45,5
38,5
181,5
82,4
167,5
80,5
25,4
73,5
113,5
160,3
24,3
70,3
125,5
62,2
121,5
156,3
143,4
95,4
29,1
21,5
195,4
98,5
60,5
32,5
90,2
75,4
141,5
151,5
145,5
56,2
109,4
170,5
105,2
188,5
58,5
33,5
11,4
83,5
110,5
150,5
68,5
106,5
71,3
116,5
147,5
14,3
198,5
123,4
158,5
199,5
135,5
119,3
42,2
79,5
2,4
149,2
118,5
124,5
99,2
30,5
184,5
66,3
46,5
67,4
186,4
174,3
172,5
153,5
144,3
18,2
138,5
74,4
180,5
104,4
134,4
187,4
36,5
89,5
